ts_code,code,name,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,1K_amount,10K_amount,1M_amount,100M_amount
000548.SZ,000548,湖南投资,19931220,7.5,7.5,6.05,6.6,2.88,3.72,129.17,53611.0,35642.0,3564.2,35.642,0.3564199999999999
000548.SZ,000548,湖南投资,19931221,6.5,6.5,6.2,6.35,6.6,-0.25,-3.79,29129.0,18520.0,1852.0,18.52,0.1852
000548.SZ,000548,湖南投资,19931222,6.35,6.4,6.1,6.15,6.35,-0.2,-3.15,21284.0,13251.0,1325.1,13.251,0.13251
000548.SZ,000548,湖南投资,19931223,6.05,6.25,5.95,6.05,6.15,-0.1,-1.63,23341.0,14156.0,1415.6,14.156,0.14156
000548.SZ,000548,湖南投资,19931224,6.0,6.45,5.95,6.4,6.05,0.35,5.79,23580.0,14588.0,1458.8,14.588,0.1458799999999999
000548.SZ,000548,湖南投资,19931227,6.45,6.45,6.2,6.25,6.4,-0.15,-2.34,24938.0,15723.0,1572.3,15.723,0.1572299999999999
000548.SZ,000548,湖南投资,19931228,6.2,6.3,6.1,6.15,6.25,-0.1,-1.6,7175.0,4456.0,445.6,4.456,0.04456
000548.SZ,000548,湖南投资,19931229,6.1,6.25,6.0,6.05,6.15,-0.1,-1.63,7916.0,4820.0,482.0,4.82,0.0482
000548.SZ,000548,湖南投资,19931230,6.0,6.15,6.0,6.05,6.05,0.0,0.0,17956.0,10869.0,1086.9,10.869000000000002,0.10869
000548.SZ,000548,湖南投资,19931231,6.05,6.1,5.85,5.9,6.05,-0.15,-2.48,12504.0,7434.0,743.4,7.434,0.07434
000548.SZ,000548,湖南投资,19940103,5.85,5.85,5.6,5.6,5.9,-0.3,-5.08,13427.0,7607.0,760.7,7.607,0.07607
000548.SZ,000548,湖南投资,19940104,5.6,5.75,5.5,5.55,5.6,-0.05,-0.89,6710.0,3755.0,375.5,3.755,0.03755
000548.SZ,000548,湖南投资,19940105,5.55,5.65,5.3,5.65,5.55,0.1,1.8,12086.0,6591.0,659.1,6.591,0.06591
000548.SZ,000548,湖南投资,19940106,5.65,6.15,5.5,6.1,5.65,0.45,7.96,34363.0,20040.0,2004.0,20.04,0.2004
000548.SZ,000548,湖南投资,19940107,6.15,6.3,5.8,6.25,6.1,0.15,2.46,61781.0,37832.0,3783.2,37.832,0.37832
000548.SZ,000548,湖南投资,19940110,6.3,6.7,6.0,6.45,6.25,0.2,3.2,111698.0,72197.0,7219.7,72.197,0.72197
000548.SZ,000548,湖南投资,19940111,6.45,6.5,6.1,6.15,6.45,-0.3,-4.65,28998.0,18308.0,1830.8,18.308,0.18308
000548.SZ,000548,湖南投资,19940112,6.05,6.3,6.05,6.15,6.15,0.0,0.0,21562.0,13308.0,1330.8,13.308,0.13308
000548.SZ,000548,湖南投资,19940113,6.15,6.3,6.0,6.25,6.15,0.1,1.63,19981.0,12272.0,1227.2,12.272,0.12272
000548.SZ,000548,湖南投资,19940114,6.25,6.35,5.95,6.1,6.25,-0.15,-2.4,38266.0,23326.0,2332.6,23.326,0.23326
000548.SZ,000548,湖南投资,19940117,6.05,6.1,5.95,6.0,6.1,-0.1,-1.64,11503.0,6930.0,693.0,6.93,0.0693
000548.SZ,000548,湖南投资,19940118,6.0,6.3,5.85,6.2,6.0,0.2,3.33,16156.0,9769.0,976.9,9.769,0.09769
000548.SZ,000548,湖南投资,19940119,6.15,6.15,5.95,6.0,6.2,-0.2,-3.23,11567.0,6983.0,698.3,6.983,0.06983
000548.SZ,000548,湖南投资,19940120,5.95,6.15,5.85,6.0,6.0,0.0,0.0,17081.0,10225.0,1022.5,10.225,0.10225
000548.SZ,000548,湖南投资,19940121,6.0,6.1,6.0,6.0,6.0,0.0,0.0,8300.0,5019.0,501.9,5.019,0.05019
000548.SZ,000548,湖南投资,19940124,6.1,6.15,5.95,6.0,6.0,0.0,0.0,5393.0,3250.0,325.0,3.25,0.0325
000548.SZ,000548,湖南投资,19940125,5.95,5.95,5.85,5.95,6.0,-0.05,-0.83,9684.0,5715.0,571.5,5.715,0.05715
000548.SZ,000548,湖南投资,19940126,5.85,6.1,5.85,6.0,5.95,0.05,0.84,17195.0,10270.0,1027.0,10.27,0.1027
000548.SZ,000548,湖南投资,19940127,6.0,6.1,5.9,6.1,6.0,0.1,1.67,11553.0,6918.0,691.8,6.917999999999999,0.0691799999999999
000548.SZ,000548,湖南投资,19940128,6.1,6.1,5.85,5.9,6.1,-0.2,-3.28,7020.0,4168.0,416.8,4.168,0.04168
000548.SZ,000548,湖南投资,19940131,5.85,5.85,5.55,5.6,5.9,-0.3,-5.08,10683.0,6080.0,608.0,6.08,0.0608
000548.SZ,000548,湖南投资,19940201,5.55,5.9,5.5,5.65,5.6,0.05,0.89,16928.0,9708.0,970.8,9.708,0.09708
000548.SZ,000548,湖南投资,19940202,5.65,5.85,5.6,5.8,5.65,0.15,2.65,10167.0,5873.0,587.3,5.872999999999999,0.0587299999999999
000548.SZ,000548,湖南投资,19940203,5.8,6.1,5.8,6.1,5.8,0.3,5.17,33409.0,20040.0,2004.0,20.04,0.2004
000548.SZ,000548,湖南投资,19940204,6.15,6.4,6.0,6.35,6.1,0.25,4.1,58764.0,36780.0,3678.0,36.78,0.3678
000548.SZ,000548,湖南投资,19940214,6.4,6.4,5.7,5.7,6.35,-0.65,-10.24,28238.0,16870.0,1687.0,16.87,0.1687
000548.SZ,000548,湖南投资,19940215,5.7,5.85,5.6,5.7,5.7,0.0,0.0,14395.0,8178.0,817.8,8.177999999999999,0.0817799999999999
000548.SZ,000548,湖南投资,19940216,5.8,5.85,5.6,5.7,5.7,0.0,0.0,16614.0,9548.0,954.8,9.548,0.09548
000548.SZ,000548,湖南投资,19940217,5.65,5.7,5.55,5.65,5.7,-0.05,-0.88,8067.0,4530.0,453.0,4.53,0.0453
000548.SZ,000548,湖南投资,19940218,5.6,5.7,5.55,5.7,5.65,0.05,0.89,4030.0,2270.0,227.0,2.27,0.0227
000548.SZ,000548,湖南投资,19940221,5.65,5.65,5.5,5.55,5.7,-0.15,-2.63,5210.0,2903.0,290.3,2.903,0.02903
000548.SZ,000548,湖南投资,19940222,5.7,5.9,5.6,5.7,5.55,0.15,2.7,28386.0,16435.0,1643.5,16.435,0.16435
000548.SZ,000548,湖南投资,19940223,5.8,6.05,5.8,6.0,5.7,0.3,5.26,64368.0,38271.0,3827.1,38.271,0.38271
000548.SZ,000548,湖南投资,19940224,6.15,6.3,6.05,6.3,6.0,0.3,5.0,70518.0,43426.0,4342.6,43.426,0.43426
000548.SZ,000548,湖南投资,19940225,6.35,6.35,6.1,6.1,6.3,-0.2,-3.17,76333.0,47634.0,4763.4,47.63399999999999,0.4763399999999999
000548.SZ,000548,湖南投资,19940228,6.2,6.25,6.0,6.0,6.1,-0.1,-1.64,29543.0,18168.0,1816.8,18.168,0.1816799999999999
000548.SZ,000548,湖南投资,19940301,6.0,6.1,5.9,6.0,6.0,0.0,0.0,19749.0,11868.0,1186.8,11.868,0.11868
000548.SZ,000548,湖南投资,19940302,6.0,6.05,5.85,5.9,6.0,-0.1,-1.67,12204.0,7236.0,723.6,7.236000000000001,0.07236
000548.SZ,000548,湖南投资,19940303,5.8,5.9,5.7,5.8,5.9,-0.1,-1.69,13417.0,7796.0,779.6,7.796,0.07796
000548.SZ,000548,湖南投资,19940304,5.7,5.85,5.7,5.8,5.8,0.0,0.0,10074.0,5797.0,579.7,5.797000000000001,0.05797
000548.SZ,000548,湖南投资,19940307,5.8,5.8,5.6,5.75,5.8,-0.05,-0.86,8283.0,4715.0,471.5,4.715,0.04715
000548.SZ,000548,湖南投资,19940308,5.75,5.75,5.65,5.7,5.75,-0.05,-0.87,3314.0,1891.0,189.1,1.891,0.01891
000548.SZ,000548,湖南投资,19940309,5.7,5.75,5.65,5.7,5.7,0.0,0.0,3444.0,1963.0,196.3,1.963,0.01963
