ts_code,code,name,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,1K_amount,10K_amount,1M_amount,100M_amount
601939.SH,601939,建设银行,20070925,8.55,9.05,8.43,8.53,6.45,2.08,32.25,27362297.27,23766599.052,2376659.9052,23766.599052,237.66599052
601939.SH,601939,建设银行,20070926,8.61,8.77,8.5,8.56,8.53,0.03,0.35,4825808.13,4164199.706,416419.9706,4164.199706,41.64199706
601939.SH,601939,建设银行,20070927,8.64,9.3,8.63,9.3,8.56,0.74,8.64,6458049.77,5787534.423,578753.4423,5787.534423,57.87534423
601939.SH,601939,建设银行,20070928,9.45,9.5,9.2,9.35,9.3,0.05,0.54,5146260.2,4799733.438,479973.3438,4799.733438,47.997334380000005
601939.SH,601939,建设银行,20071008,9.55,9.99,9.3,9.82,9.35,0.47,5.03,5352056.55,5188771.69,518877.16900000005,5188.7716900000005,51.88771690000001
601939.SH,601939,建设银行,20071009,9.75,10.12,9.51,9.85,9.82,0.03,0.31,3206263.86,3179614.677,317961.46770000004,3179.6146770000005,31.796146770000004
601939.SH,601939,建设银行,20071010,9.87,10.16,9.8,9.95,9.85,0.1,1.02,3147928.76,3152836.011,315283.6011,3152.836011,31.52836011
601939.SH,601939,建设银行,20071011,10.0,10.26,9.81,10.24,9.95,0.29,2.91,3201707.81,3214321.915,321432.1915,3214.321915,32.14321915
601939.SH,601939,建设银行,20071012,10.29,10.29,9.58,10.06,10.24,-0.18,-1.76,3259280.23,3242246.844,324224.6844,3242.246844,32.42246844
601939.SH,601939,建设银行,20071015,9.98,10.05,9.69,9.95,10.06,-0.11,-1.09,2943624.41,2897081.64,289708.164,2897.08164,28.9708164
601939.SH,601939,建设银行,20071016,9.95,10.53,9.95,10.13,9.95,0.18,1.81,3536729.41,3626902.351,362690.2351,3626.902351,36.26902351
601939.SH,601939,建设银行,20071017,10.0,10.07,9.81,9.91,10.13,-0.22,-2.17,1886883.06,1869329.583,186932.9583,1869.329583,18.69329583
601939.SH,601939,建设银行,20071018,9.89,9.9,9.53,9.59,9.91,-0.32,-3.23,1986577.33,1916542.334,191654.2334,1916.542334,19.16542334
601939.SH,601939,建设银行,20071019,9.64,9.8,9.5,9.6,9.59,0.01,0.1,1002651.56,965433.389,96543.3389,965.433389,9.65433389
601939.SH,601939,建设银行,20071022,9.45,9.57,9.29,9.32,9.6,-0.28,-2.92,1179685.08,1108344.886,110834.4886,1108.344886,11.08344886
601939.SH,601939,建设银行,20071023,9.32,9.67,9.25,9.66,9.32,0.34,3.65,1458780.7,1379063.872,137906.3872,1379.063872,13.79063872
601939.SH,601939,建设银行,20071024,9.72,9.96,9.63,9.65,9.66,-0.01,-0.1,1794782.32,1763478.356,176347.8356,1763.4783559999998,17.63478356
601939.SH,601939,建设银行,20071025,9.61,9.9,9.37,9.73,9.65,0.08,0.83,2022855.14,1956783.137,195678.3137,1956.783137,19.56783137
601939.SH,601939,建设银行,20071026,9.7,9.98,9.64,9.95,9.73,0.22,2.26,2406644.61,2375801.492,237580.1492,2375.801492,23.75801492
601939.SH,601939,建设银行,20071029,10.15,10.6,10.07,10.37,9.95,0.42,4.22,2857717.88,2969062.478,296906.2478,2969.0624780000003,29.690624780000004
601939.SH,601939,建设银行,20071030,10.5,10.92,10.28,10.86,10.37,0.49,4.73,2626217.09,2810330.588,281033.0588,2810.330588,28.10330588
601939.SH,601939,建设银行,20071031,11.0,11.06,10.8,10.97,10.86,0.11,1.01,2868573.79,3133229.316,313322.9316,3133.229316,31.33229316
601939.SH,601939,建设银行,20071101,10.96,11.53,10.83,11.32,10.97,0.35,3.19,2611036.86,2945068.625,294506.8625,2945.068625,29.45068625
601939.SH,601939,建设银行,20071102,11.09,11.58,10.97,11.23,11.32,-0.09,-0.8,2356877.79,2660084.829,266008.4829,2660.084829,26.60084829
601939.SH,601939,建设银行,20071105,11.23,11.25,10.7,10.8,11.23,-0.43,-3.83,2521132.69,2759240.271,275924.0271,2759.240271,27.59240271
601939.SH,601939,建设银行,20071106,10.68,10.9,10.5,10.63,10.8,-0.17,-1.57,1741541.68,1852160.14,185216.014,1852.16014,18.5216014
601939.SH,601939,建设银行,20071107,10.78,10.97,10.64,10.95,10.63,0.32,3.01,1171715.92,1267589.597,126758.9597,1267.589597,12.67589597
601939.SH,601939,建设银行,20071108,10.8,11.1,10.71,10.77,10.95,-0.18,-1.64,1440418.88,1568253.996,156825.3996,1568.253996,15.68253996
601939.SH,601939,建设银行,20071109,10.69,10.98,10.47,10.83,10.77,0.06,0.56,1326263.61,1425283.875,142528.3875,1425.283875,14.25283875
601939.SH,601939,建设银行,20071112,10.6,10.93,10.4,10.81,10.83,-0.02,-0.18,1927929.81,2059720.357,205972.0357,2059.720357,20.59720357
601939.SH,601939,建设银行,20071113,10.92,11.0,10.49,10.56,10.81,-0.25,-2.31,1460323.81,1564541.697,156454.1697,1564.541697,15.64541697
601939.SH,601939,建设银行,20071114,10.7,10.89,10.52,10.87,10.56,0.31,2.94,1325225.17,1422182.309,142218.2309,1422.182309,14.22182309
601939.SH,601939,建设银行,20071115,10.86,11.18,10.72,11.01,10.87,0.14,1.29,1928482.15,2119130.157,211913.0157,2119.130157,21.19130157
601939.SH,601939,建设银行,20071116,10.88,11.08,10.68,10.81,11.01,-0.2,-1.82,1290990.13,1400573.662,140057.3662,1400.5736619999998,14.00573662
601939.SH,601939,建设银行,20071119,10.84,10.85,10.58,10.7,10.81,-0.11,-1.02,901162.03,962283.682,96228.3682,962.283682,9.62283682
601939.SH,601939,建设银行,20071120,10.57,10.85,10.41,10.7,10.7,0.0,0.0,1128170.45,1197375.811,119737.5811,1197.375811,11.97375811
601939.SH,601939,建设银行,20071121,10.71,10.79,10.46,10.49,10.7,-0.21,-1.96,878715.92,930651.149,93065.1149,930.651149,9.30651149
601939.SH,601939,建设银行,20071122,10.3,10.49,10.0,10.1,10.49,-0.39,-3.72,1375171.93,1400023.867,140002.3867,1400.023867,14.000238670000002
601939.SH,601939,建设银行,20071123,10.0,10.21,9.9,10.2,10.1,0.1,0.99,776850.12,782424.361,78242.4361,782.4243610000001,7.824243610000001
601939.SH,601939,建设银行,20071126,10.35,10.39,10.04,10.06,10.2,-0.14,-1.37,826253.42,844084.658,84408.4658,844.0846580000001,8.44084658
601939.SH,601939,建设银行,20071127,9.98,10.2,9.91,10.02,10.06,-0.04,-0.4,590057.86,594716.548,59471.6548,594.716548,5.94716548
601939.SH,601939,建设银行,20071128,10.07,10.15,9.8,9.87,10.02,-0.15,-1.5,948974.98,938994.17,93899.417,938.99417,9.3899417
601939.SH,601939,建设银行,20071129,9.99,10.4,9.84,10.38,9.87,0.51,5.17,1597490.16,1626850.25,162685.025,1626.85025,16.2685025
601939.SH,601939,建设银行,20071130,10.35,10.49,10.13,10.2,10.38,-0.18,-1.73,990591.18,1016549.36,101654.936,1016.54936,10.1654936
601939.SH,601939,建设银行,20071203,10.15,10.4,10.0,10.3,10.2,0.1,0.98,814698.78,833998.105,83399.81049999999,833.9981049999999,8.339981049999999
601939.SH,601939,建设银行,20071204,10.3,10.43,10.24,10.31,10.3,0.01,0.1,705798.34,729029.313,72902.9313,729.029313,7.29029313
601939.SH,601939,建设银行,20071205,10.26,10.53,10.18,10.51,10.31,0.2,1.94,1141487.68,1187052.389,118705.2389,1187.052389,11.87052389
601939.SH,601939,建设银行,20071206,10.55,10.56,10.31,10.36,10.51,-0.15,-1.43,648467.63,675579.849,67557.98490000001,675.5798490000001,6.755798490000001
601939.SH,601939,建设银行,20071207,10.4,10.43,10.28,10.42,10.36,0.06,0.58,872453.56,903129.167,90312.9167,903.129167,9.03129167
601939.SH,601939,建设银行,20071210,10.2,10.39,10.15,10.38,10.42,-0.04,-0.38,1386090.09,1424175.373,142417.5373,1424.175373,14.24175373
601939.SH,601939,建设银行,20071211,10.4,10.4,10.06,10.19,10.38,-0.19,-1.83,1560616.33,1589147.089,158914.7089,1589.147089,15.89147089
