ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
002530.SZ,002530,金财互联,20200320,11.18,12.92,13.0,10.72,12.64,-1.46,-0.1155,86228044.0,990492224.68,990492.22468,99049.22246799999,990.4922246799999,9.9049222468,0.99049222468
002530.SZ,002530,金财互联,20200313,12.64,13.9,13.94,12.0,14.13,-1.49,-0.1054,61574148.0,806331745.73,806331.74573,80633.174573,806.33174573,8.0633174573,0.80633174573
002530.SZ,002530,金财互联,20200306,14.13,14.0,14.8,13.55,13.88,0.25,0.018,69201617.0,986842275.33,986842.2753300001,98684.22753300001,986.8422753300001,9.8684227533,0.9868422753300001
002530.SZ,002530,金财互联,20200228,13.88,16.81,17.14,13.86,16.89,-3.01,-0.1782,101052786.0,1599172140.24,1599172.14024,159917.21402400002,1599.17214024,15.991721402400001,1.59917214024
002530.SZ,002530,金财互联,20200221,16.89,14.7,17.81,14.7,14.7,2.19,0.149,145962126.0,2396146855.8,2396146.8558,239614.68558,2396.1468557999997,23.961468557999996,2.3961468557999996
002530.SZ,002530,金财互联,20200214,14.7,15.17,15.8,14.33,15.4,-0.7,-0.0455,118191634.0,1783322335.65,1783322.33565,178332.233565,1783.32233565,17.8332233565,1.7833223356499999
002530.SZ,002530,金财互联,20200207,15.4,13.55,15.75,12.2,15.06,0.34,0.0226,146815632.0,2067195176.27,2067195.17627,206719.517627,2067.19517627,20.6719517627,2.0671951762700003
002530.SZ,002530,金财互联,20200123,15.06,15.0,16.78,14.51,15.16,-0.1,-0.0066,88805180.0,1402494939.43,1402494.93943,140249.493943,1402.4949394300002,14.024949394300002,1.4024949394300001
002530.SZ,002530,金财互联,20200117,15.16,13.31,16.0,13.15,13.4,1.76,0.1313,158169679.0,2338594621.41,2338594.6214099997,233859.46214099997,2338.5946214099995,23.385946214099995,2.3385946214099995
002530.SZ,002530,金财互联,20200110,13.4,13.49,14.48,13.05,13.43,-0.03,-0.0022,172270751.0,2355153699.57,2355153.69957,235515.36995700002,2355.1536995700003,23.551536995700005,2.3551536995700006
002530.SZ,002530,金财互联,20200103,13.43,11.31,13.43,11.12,11.58,1.85,0.1598,147817318.0,1810037714.94,1810037.71494,181003.77149400002,1810.0377149400001,18.1003771494,1.81003771494
002530.SZ,002530,金财互联,20191227,11.58,9.95,11.9,9.8,9.95,1.63,0.1638,174604210.0,1926482627.98,1926482.62798,192648.262798,1926.4826279800002,19.2648262798,1.92648262798
002530.SZ,002530,金财互联,20191220,9.95,10.38,10.83,9.93,10.38,-0.43,-0.0414,106617634.0,1120119967.81,1120119.9678099998,112011.99678099998,1120.1199678099997,11.201199678099997,1.1201199678099996
002530.SZ,002530,金财互联,20191213,10.38,9.87,10.55,9.78,9.86,0.52,0.0527,92808004.0,946568022.08,946568.02208,94656.80220800001,946.5680220800001,9.465680220800001,0.9465680220800001
002530.SZ,002530,金财互联,20191206,9.86,9.77,10.04,9.52,9.95,-0.09,-0.009,48362644.0,472303497.52,472303.49752,47230.349751999995,472.30349751999995,4.723034975199999,0.4723034975199999
002530.SZ,002530,金财互联,20191129,9.95,10.43,10.72,9.86,10.36,-0.41,-0.0396,60509746.0,621551178.37,621551.17837,62155.117837,621.55117837,6.2155117837,0.6215511783700001
002530.SZ,002530,金财互联,20191122,10.36,9.6,10.76,9.2,9.95,0.41,0.0412,105074979.0,1060778254.29,1060778.25429,106077.825429,1060.77825429,10.607782542899999,1.06077825429
002530.SZ,002530,金财互联,20191115,9.95,10.8,12.34,9.95,11.22,-1.27,-0.1132,185139925.0,2105154336.93,2105154.33693,210515.43369300003,2105.15433693,21.051543369300003,2.10515433693
002530.SZ,002530,金财互联,20191108,11.22,10.36,11.56,9.9,10.16,1.06,0.1043,118977337.0,1261754852.07,1261754.85207,126175.485207,1261.75485207,12.6175485207,1.26175485207
002530.SZ,002530,金财互联,20191101,10.16,10.81,11.63,9.6,9.83,0.33,0.0336,123473872.0,1317443268.82,1317443.2688199999,131744.326882,1317.44326882,13.1744326882,1.31744326882
002530.SZ,002530,金财互联,20191025,9.83,10.08,10.1,9.56,10.12,-0.29,-0.0287,35420233.0,347025379.18,347025.37918,34702.537918,347.02537918,3.4702537918000003,0.34702537918000004
002530.SZ,002530,金财互联,20191018,10.12,9.77,10.48,9.55,9.64,0.48,0.0498,55361575.0,554493643.94,554493.6439400001,55449.36439400001,554.4936439400001,5.544936439400001,0.5544936439400001
002530.SZ,002530,金财互联,20191011,9.64,9.29,9.78,9.03,9.32,0.32,0.0343,23273307.0,219996711.24,219996.71124,21999.671124,219.99671124,2.1999671124,0.21999671124
002530.SZ,002530,金财互联,20190930,9.32,9.42,9.54,9.17,9.42,-0.1,-0.0106,4902164.0,45978115.57,45978.11557,4597.811557,45.97811557,0.4597811557,0.04597811557
002530.SZ,002530,金财互联,20190927,9.42,10.24,10.69,9.31,10.33,-0.91,-0.0881,63853655.0,642354583.49,642354.58349,64235.458349,642.35458349,6.4235458349,0.64235458349
002530.SZ,002530,金财互联,20190920,10.33,11.0,11.88,10.2,11.06,-0.73,-0.066,85459375.0,926401939.43,926401.9394299999,92640.19394299999,926.4019394299999,9.264019394299998,0.9264019394299998
002530.SZ,002530,金财互联,20190912,11.06,9.6,11.06,9.51,9.43,1.63,0.1729,61206259.0,617660429.35,617660.42935,61766.042935,617.66042935,6.1766042935,0.61766042935
002530.SZ,002530,金财互联,20190906,9.43,8.9,9.96,8.77,8.9,0.53,0.0596,55760923.0,523907697.22,523907.69722000003,52390.769722000005,523.90769722,5.2390769722,0.5239076972200001
002530.SZ,002530,金财互联,20190830,8.9,8.61,9.13,8.61,9.16,-0.26,-0.0284,49210784.0,435651107.98,435651.10798000003,43565.110798,435.65110798,4.3565110798,0.43565110797999995
002530.SZ,002530,金财互联,20190823,9.16,7.86,9.47,7.86,7.84,1.32,0.1684,72022126.0,633005628.09,633005.62809,63300.562809,633.0056280900001,6.330056280900001,0.63300562809
002530.SZ,002530,金财互联,20190816,7.84,7.66,7.97,7.4,7.6,0.24,0.0316,24273392.0,188915705.99,188915.70599000002,18891.570599000002,188.91570599000002,1.8891570599000003,0.18891570599000002
002530.SZ,002530,金财互联,20190809,7.6,8.29,8.42,7.48,8.31,-0.71,-0.0854,38746941.0,304527199.21,304527.19921,30452.719921,304.52719921,3.0452719921,0.30452719921
002530.SZ,002530,金财互联,20190802,8.31,8.74,9.04,8.09,8.74,-0.43,-0.0492,36169680.0,312192376.11,312192.37611,31219.237611,312.19237611,3.1219237611,0.31219237611
002530.SZ,002530,金财互联,20190726,8.74,8.82,8.86,8.41,8.74,0.0,0.0,24250184.0,208318442.1,208318.4421,20831.84421,208.3184421,2.083184421,0.2083184421
002530.SZ,002530,金财互联,20190719,8.74,8.91,9.2,8.61,8.99,-0.25,-0.0278,26729669.0,237937715.99,237937.71599,23793.771599,237.93771599,2.3793771598999998,0.23793771598999996
002530.SZ,002530,金财互联,20190712,8.99,9.78,9.8,8.75,9.78,-0.79,-0.0808,30117231.0,274639231.14,274639.23114,27463.923113999997,274.63923114,2.7463923113999997,0.27463923114
002530.SZ,002530,金财互联,20190705,9.78,10.04,10.28,9.62,9.76,0.02,0.002,40730027.0,405261481.62,405261.48162,40526.148162,405.26148162,4.0526148162,0.40526148162000003
002530.SZ,002530,金财互联,20190628,9.76,10.59,10.78,9.68,10.48,-0.72,-0.0687,58758817.0,592382852.59,592382.85259,59238.285259000004,592.3828525900001,5.923828525900001,0.5923828525900001
002530.SZ,002530,金财互联,20190621,10.48,8.93,10.48,8.81,8.91,1.57,0.1762,69587584.0,670767674.54,670767.6745399999,67076.76745399999,670.7676745399999,6.707676745399999,0.6707676745399999
002530.SZ,002530,金财互联,20190614,8.91,8.85,9.52,8.8,8.7,0.21,0.0241,46101476.0,424704033.13,424704.03313,42470.403313,424.70403313,4.2470403313,0.42470403313
002530.SZ,002530,金财互联,20190606,8.7,9.75,9.82,8.5,9.71,-1.01,-0.104,33905788.0,310066702.07,310066.70207,31006.670207,310.06670207,3.1006670207,0.31006670207
002530.SZ,002530,金财互联,20190531,9.71,9.7,10.07,9.25,9.61,0.1,0.0104,39540991.0,385526014.78,385526.01477999997,38552.601478,385.52601477999997,3.8552601477999997,0.38552601478
002530.SZ,002530,金财互联,20190524,9.61,9.98,10.44,9.53,9.91,-0.3,-0.0303,43300326.0,433099339.64,433099.33963999996,43309.933963999996,433.09933964,4.3309933964,0.43309933964
002530.SZ,002530,金财互联,20190517,9.91,10.96,11.19,9.8,11.08,-1.17,-0.1056,59429411.0,632358805.13,632358.80513,63235.880513,632.35880513,6.3235880513,0.63235880513
002530.SZ,002530,金财互联,20190510,11.08,11.54,12.02,10.33,11.82,-0.74,-0.0626,81561681.0,893490156.93,893490.1569299999,89349.015693,893.4901569299999,8.9349015693,0.8934901569299999
002530.SZ,002530,金财互联,20190430,11.82,12.3,12.35,10.88,11.74,0.08,0.0068,34949981.0,406139157.79,406139.15779,40613.915779,406.13915779,4.0613915779,0.40613915779000004
002530.SZ,002530,金财互联,20190426,11.74,12.83,12.88,11.51,12.87,-1.13,-0.0878,75594782.0,919041553.2,919041.5532000001,91904.15532,919.0415532000001,9.190415532000001,0.9190415532000001
002530.SZ,002530,金财互联,20190419,12.87,12.59,13.16,12.13,12.36,0.51,0.0413,83028392.0,1054865423.05,1054865.4230499999,105486.54230499998,1054.86542305,10.548654230499999,1.0548654230499999
002530.SZ,002530,金财互联,20190412,12.36,15.06,15.33,12.2,15.53,-3.17,-0.2041,161283057.0,2153249685.41,2153249.68541,215324.96854099998,2153.24968541,21.5324968541,2.15324968541
002530.SZ,002530,金财互联,20190404,15.53,11.8,15.77,11.67,11.29,4.24,0.3756,160463132.0,2218930993.21,2218930.99321,221893.099321,2218.93099321,22.1893099321,2.21893099321
002530.SZ,002530,金财互联,20190329,11.29,10.71,11.4,10.1,11.03,0.26,0.0236,58664012.0,630632684.52,630632.68452,63063.268452000004,630.63268452,6.3063268452,0.63063268452
002530.SZ,002530,金财互联,20190322,11.03,10.62,11.18,10.17,10.6,0.43,0.0406,66111247.0,711075833.7,711075.8337000001,71107.58337000001,711.0758337000001,7.110758337000001,0.7110758337
002530.SZ,002530,金财互联,20190315,10.6,10.18,12.29,9.85,10.08,0.52,0.0516,110868441.0,1226600916.25,1226600.91625,122660.091625,1226.60091625,12.2660091625,1.22660091625
002530.SZ,002530,金财互联,20190308,10.08,8.55,10.83,8.44,8.5,1.58,0.1859,146398048.0,1388510375.03,1388510.37503,138851.037503,1388.51037503,13.885103750299999,1.3885103750299999
002530.SZ,002530,金财互联,20190301,8.5,7.98,8.99,7.71,7.72,0.78,0.101,107500556.0,903305248.19,903305.2481900001,90330.52481900001,903.3052481900002,9.033052481900002,0.9033052481900002
002530.SZ,002530,金财互联,20190222,7.72,6.92,7.82,6.82,6.85,0.87,0.127,96444012.0,714947131.22,714947.13122,71494.713122,714.94713122,7.149471312199999,0.71494713122
002530.SZ,002530,金财互联,20190215,6.85,6.15,7.09,5.98,6.02,0.83,0.1379,102027486.0,670105108.05,670105.1080499999,67010.510805,670.10510805,6.7010510805,0.67010510805
002530.SZ,002530,金财互联,20190201,6.02,6.15,6.24,5.41,6.12,-0.1,-0.0163,51837265.0,303113451.65,303113.45165,30311.345165,303.11345165,3.0311345165,0.30311345165
002530.SZ,002530,金财互联,20190125,6.12,6.31,6.53,6.07,6.34,-0.22,-0.0347,38276105.0,241402925.35,241402.92535,24140.292535,241.40292535,2.4140292535,0.24140292535
002530.SZ,002530,金财互联,20190118,6.34,6.61,6.63,6.2,6.55,-0.21,-0.0321,52833446.0,337936231.76,337936.23176,33793.623176,337.93623176,3.3793623176,0.33793623176
002530.SZ,002530,金财互联,20190111,6.55,6.24,6.83,6.16,6.32,0.23,0.0364,83990065.0,543124402.65,543124.40265,54312.440265,543.12440265,5.4312440265,0.54312440265
002530.SZ,002530,金财互联,20190104,6.32,6.5,6.5,5.91,6.59,-0.27,-0.041,49502896.0,304814164.61,304814.16461000004,30481.416461000004,304.81416461000003,3.0481416461000004,0.30481416461000005
002530.SZ,002530,金财互联,20181228,6.59,7.87,8.02,6.52,7.88,-1.29,-0.1637,63823268.0,463074578.61,463074.57861,46307.457861,463.07457861,4.6307457861,0.46307457861
002530.SZ,002530,金财互联,20181221,7.88,7.85,8.06,7.52,7.85,0.03,0.0038,24580801.0,191219508.54,191219.50853999998,19121.950854,191.21950854,1.9121950853999998,0.19121950853999997
002530.SZ,002530,金财互联,20181214,7.85,8.2,8.29,7.83,8.24,-0.39,-0.0473,23519343.0,189792595.23,189792.59522999998,18979.259522999997,189.79259522999996,1.8979259522999996,0.18979259522999997
