ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
600854.SH,600854,春兰股份,20200320,3.6,3.83,3.88,3.33,3.81,-0.21,-0.0551,22337787.0,80625134.0,80625.134,8062.513400000001,80.625134,0.80625134,0.080625134
600854.SH,600854,春兰股份,20200313,3.81,3.9,4.16,3.57,3.91,-0.1,-0.0256,51559657.0,201551058.0,201551.058,20155.105799999998,201.55105799999998,2.01551058,0.201551058
600854.SH,600854,春兰股份,20200306,3.91,3.65,4.09,3.6,3.59,0.32,0.0891,40188150.0,154601189.0,154601.189,15460.118900000001,154.601189,1.54601189,0.154601189
600854.SH,600854,春兰股份,20200228,3.59,3.58,3.95,3.41,3.61,-0.02,-0.0055,57877433.0,214756425.0,214756.425,21475.642499999998,214.75642499999998,2.14756425,0.21475642499999997
600854.SH,600854,春兰股份,20200221,3.61,3.29,3.78,3.29,3.31,0.3,0.0906,27091282.0,95281400.0,95281.4,9528.14,95.28139999999999,0.9528139999999999,0.09528139999999999
600854.SH,600854,春兰股份,20200214,3.31,3.32,3.48,3.28,3.32,-0.01,-0.003,14857894.0,49707713.0,49707.713,4970.7713,49.707713000000005,0.49707713000000003,0.049707713
600854.SH,600854,春兰股份,20200207,3.32,3.25,3.32,2.94,3.61,-0.29,-0.0803,16590961.0,53250197.0,53250.197,5325.0197,53.250197,0.53250197,0.053250197
600854.SH,600854,春兰股份,20200123,3.61,3.75,3.81,3.61,3.76,-0.15,-0.0399,11388784.0,42103226.0,42103.226,4210.3226,42.10322600000001,0.42103226000000005,0.04210322600000001
600854.SH,600854,春兰股份,20200117,3.76,3.9,3.92,3.75,3.9,-0.14,-0.0359,16142511.0,61986314.0,61986.314,6198.6314,61.986314,0.61986314,0.061986314
600854.SH,600854,春兰股份,20200110,3.9,3.86,3.95,3.81,3.89,0.01,0.0026,16876524.0,65741108.0,65741.108,6574.1107999999995,65.741108,0.6574110799999999,0.06574110799999999
600854.SH,600854,春兰股份,20200103,3.89,3.78,3.91,3.72,3.8,0.09,0.0237,11366148.0,43516962.0,43516.962,4351.6962,43.51696200000001,0.4351696200000001,0.043516962000000006
600854.SH,600854,春兰股份,20191227,3.8,3.84,3.85,3.73,3.84,-0.04,-0.0104,10469758.0,39659581.0,39659.581,3965.9581,39.659580999999996,0.39659580999999994,0.03965958099999999
600854.SH,600854,春兰股份,20191220,3.84,3.83,3.93,3.78,3.86,-0.02,-0.0052,19251201.0,74029411.0,74029.411,7402.941099999999,74.029411,0.74029411,0.074029411
600854.SH,600854,春兰股份,20191213,3.86,3.73,3.89,3.7,3.73,0.13,0.0349,29471687.0,112075978.0,112075.978,11207.5978,112.07597799999999,1.12075978,0.11207597799999999
600854.SH,600854,春兰股份,20191206,3.73,3.8,3.86,3.62,3.64,0.09,0.0247,6760722.0,25036005.0,25036.005,2503.6005,25.036005,0.25036005,0.025036005
600854.SH,600854,春兰股份,20191129,3.64,3.66,3.69,3.6,3.64,0.0,0.0,4471718.0,16273610.0,16273.61,1627.361,16.27361,0.16273610000000002,0.01627361
600854.SH,600854,春兰股份,20191122,3.64,3.61,3.71,3.58,3.62,0.02,0.0055,5726361.0,20847057.0,20847.057,2084.7057,20.847057,0.20847057,0.020847057
600854.SH,600854,春兰股份,20191115,3.62,3.68,3.69,3.58,3.69,-0.07,-0.019,6358483.0,23043261.0,23043.261,2304.3260999999998,23.043260999999998,0.23043260999999998,0.023043261
600854.SH,600854,春兰股份,20191108,3.69,3.86,3.88,3.67,3.84,-0.15,-0.0391,9418181.0,35198027.0,35198.027,3519.8027,35.198027,0.35198027000000004,0.03519802700000001
600854.SH,600854,春兰股份,20191101,3.84,3.94,4.0,3.73,3.94,-0.1,-0.0254,14778554.0,57061875.0,57061.875,5706.1875,57.061875,0.57061875,0.057061875
600854.SH,600854,春兰股份,20191025,3.94,3.77,3.95,3.68,3.75,0.19,0.0507,14559465.0,56408829.0,56408.829,5640.8829,56.408829,0.5640882899999999,0.056408828999999994
600854.SH,600854,春兰股份,20191018,3.75,3.91,3.93,3.72,3.89,-0.14,-0.036,7284410.0,28094437.0,28094.437,2809.4437000000003,28.094437000000003,0.28094437000000005,0.028094437000000007
600854.SH,600854,春兰股份,20191011,3.89,3.74,3.9,3.73,3.74,0.15,0.0401,5574158.0,21267164.0,21267.164,2126.7164000000002,21.267164,0.21267164000000002,0.021267164
600854.SH,600854,春兰股份,20190930,3.74,3.76,3.79,3.74,3.77,-0.03,-0.008,930274.0,3496183.0,3496.183,349.6183,3.496183,0.03496183,0.003496183
600854.SH,600854,春兰股份,20190927,3.77,3.89,3.92,3.72,3.93,-0.16,-0.0407,10693691.0,40998763.0,40998.763,4099.8763,40.998763,0.40998763,0.040998763
600854.SH,600854,春兰股份,20190920,3.93,3.95,4.3,3.9,3.95,-0.02,-0.0051,25269493.0,101010757.0,101010.757,10101.0757,101.010757,1.01010757,0.10101075699999999
600854.SH,600854,春兰股份,20190912,3.95,3.87,3.95,3.85,3.85,0.1,0.026,11547471.0,45041610.0,45041.61,4504.161,45.04161,0.4504161,0.045041609999999996
600854.SH,600854,春兰股份,20190906,3.85,3.69,3.87,3.65,3.67,0.18,0.049,13810269.0,52305530.0,52305.53,5230.553,52.30553,0.5230553,0.05230553
600854.SH,600854,春兰股份,20190830,3.67,3.64,3.97,3.61,3.71,-0.04,-0.0108,17023686.0,63740647.0,63740.647,6374.0647,63.740646999999996,0.63740647,0.063740647
600854.SH,600854,春兰股份,20190823,3.71,3.66,3.73,3.65,3.67,0.04,0.0109,10630348.0,39310445.0,39310.445,3931.0445,39.310445,0.39310445,0.039310445
600854.SH,600854,春兰股份,20190816,3.67,3.69,3.7,3.57,3.64,0.03,0.0082,8931466.0,32565518.0,32565.518,3256.5518,32.565518000000004,0.32565518000000004,0.032565518
600854.SH,600854,春兰股份,20190809,3.64,3.78,3.84,3.57,3.8,-0.16,-0.0421,10011086.0,36722056.0,36722.056,3672.2056,36.722055999999995,0.36722056,0.036722055999999996
600854.SH,600854,春兰股份,20190802,3.8,3.93,3.95,3.72,3.94,-0.14,-0.0355,7212970.0,27758012.0,27758.012,2775.8012,27.758011999999997,0.27758012,0.027758012
600854.SH,600854,春兰股份,20190726,3.94,3.85,3.94,3.71,3.85,0.09,0.0234,11341293.0,43578767.0,43578.767,4357.8767,43.578767,0.43578767,0.043578767000000004
600854.SH,600854,春兰股份,20190719,3.85,3.78,3.91,3.69,3.79,0.06,0.0158,13432501.0,51528435.0,51528.435,5152.8435,51.528435,0.5152843500000001,0.051528435000000004
600854.SH,600854,春兰股份,20190712,3.79,4.0,4.0,3.71,4.01,-0.22,-0.0549,12655191.0,48095875.0,48095.875,4809.5875,48.095875,0.48095875,0.048095874999999996
600854.SH,600854,春兰股份,20190705,4.01,3.94,4.07,3.94,3.91,0.1,0.0256,12682501.0,50811796.0,50811.796,5081.1796,50.811796,0.50811796,0.050811796
600854.SH,600854,春兰股份,20190628,3.91,4.02,4.04,3.9,4.02,-0.11,-0.0274,11847008.0,47177051.0,47177.051,4717.7051,47.177051,0.47177051,0.047177051
600854.SH,600854,春兰股份,20190621,4.02,3.79,4.04,3.75,3.79,0.23,0.0607,11837744.0,46149181.0,46149.181,4614.9181,46.149181,0.46149181,0.046149181
